Предложение,Название произведения,Номер автора
"Когда он поднимал глаза выше, то видел отражение парикмахера, странное и как.",Девять рассказов,0
"будто косое, и подмечал быстрый и грозный взгляд, который тот бросал вниз на чью-то голову, и безмолвное движение его губ от неслышного, но выразительного шепота.",Девять рассказов,0
"Если его брил не сам хозяин Осип Абрамович, а кто-нибудь из подмастерьев, Прокопий или Михаила, то шепот становился громким и принимал форму неопределенной угрозы:
- Вот, погоди!",Девять рассказов,0
"Это значило, что мальчик недостаточно быстро подал воду и его ждет наказание.",Девять рассказов,0
"""Так их и следует"", - думал посетитель, кривя голову набок и созерцая у самого своего носа большую потную руку, у которой три пальца были оттопырены, а два другие, липкие и пахучие, нежно прикасались к щеке и подбородку, пока туповатая бритва с неприятным скрипом снимала мыльную пену и жесткую щетину бороды.",Девять рассказов,0
"В этой парикмахерской, пропитанной скучным запахом дешевых духов, полной надоедливых мух и грязи, посетитель был нетребовательный: швейцары, приказчики, иногда мелкие служащие или рабочие, часто аляповато-красивые, но подозрительные молодцы, с румяными щеками, тоненькими усиками и наглыми маслянистыми глазками.",Девять рассказов,0
"Невдалеке находился квартал, заполненный домами дешевого разврата.",Девять рассказов,0
"Они господствовали над этою местностью и придавали ей особый характер чего-то грязного, беспорядочного и тревожного.",Девять рассказов,0
"Мальчик, на которого чаще всего кричали, назывался Петькой и был самым маленьким из всех служащих в заведении.",Девять рассказов,0
"Другой мальчик, Николка, насчитывал от роду тремя годами больше и скоро должен был перейти в подмастерья.",Девять рассказов,0
"Уже и теперь, когда в парикмахерскую заглядывал посетитель попроще, а подмастерья, в отсутствие хозяина, ленились работать, они посылали Николку стричь и смеялись, что ему приходится подниматься на цыпочки, чтобы видеть волосатый затылок дюжего дворника.",Девять рассказов,0
"Иногда посетитель обижался за испорченные волосы и поднимал крик, тогда подмастерья кричали на Николку, но не всерьез, а только для удовольствия окорначенного простака.",Девять рассказов,0
"Но такие случаи бывали редко, и Николка важничал и держался, как большой: курил папиросы, сплевывал через зубы, ругался скверными словами и даже хвастался Петьке, что пил водку, но, вероятно, врал.",Девять рассказов,0
"Вместе с подмастерьями он бегал на соседнюю улицу посмотреть крупную драку, и, когда возвращался оттуда, счастливый и смеющийся, Осип Абрамович давал ему две пощечины: по одной на каждую щеку.",Девять рассказов,0
"Петьке было десять лет; он не курил, не пил водки и не ругался, хотя знал очень много скверных слов, и во всех этих отношениях завидовал товарищу.",Девять рассказов,0
"Когда не было посетителей и Прокопий, проводивший где-то бессонные ночи и днем спотыкавшийся от желания спать, приваливался в темном углу за перегородкой, а Михаила читал ""Московский листок"" и среди описания краж и грабежей искал знакомого имени кого-нибудь из обычных посетителей, - Петька и Николка беседовали.",Девять рассказов,0
"Последний всегда становился добрее, оставаясь вдвоем, и объяснял ""мальчику"", что значит стричь под польку, бобриком или с пробором.",Девять рассказов,0
"Иногда они садились на окно, рядом с восковым бюстом женщины, у которой были розовые щеки, стеклянные удивленные глаза и редкие прямые ресницы, - и смотрели на бульвар, где жизнь начиналась с раннего утра.",Девять рассказов,0
"Деревья бульвара, серые от пыли, неподвижно млели под горячим, безжалостным солнцем и давали такую же серую, не охлаждающую тень.",Девять рассказов,0
"На всех скамейках сидели мужчины и женщины, грязно и странно одетые, без платков и шапок, как будто они тут и жили и у них не было другого дома.",Девять рассказов,0
"Были лица равнодушные, злые или распущенные, но на всех на них лежала печать крайнего утомления и пренебрежения к окружающему.",Девять рассказов,0
"Часто чья-нибудь лохматая голова бессильно клонилась на плечо, и тело невольно искало простора для сна, как у третьеклассного пассажира, проехавшего тысячи верст без отдыха, но лечь было негде.",Девять рассказов,0
"По дорожкам расхаживал с палкой ярко-синий сторож и смотрел, чтобы кто-нибудь не развалился на скамейке или не бросился на траву, порыжевшую от солнца, но такую мягкую, такую прохладную.",Девять рассказов,0
"Женщины, всегда одетые более чисто, даже с намеком на моду, были все как будто на одно лицо и одного возраста, хотя иногда попадались совсем старые или молоденькие, почти дети.",Девять рассказов,0
"Все они говорили хриплыми, резкими голосами, бранились, обнимали мужчин так просто, как будто были на бульваре совсем одни, иногда тут же пили водку и закусывали.",Девять рассказов,0
"Случалось, пьяный мужчина бил такую же пьяную женщину; она падала, поднималась и снова падала; но никто не вступался за нее.",Девять рассказов,0
"Зубы весело скалились, лица становились осмысленнее и живее, около дерущихся собиралась толпа; но когда приближался ярко-синий сторож, все лениво разбредались по своим местам.",Девять рассказов,0
"И только побитая женщина плакала и бессмысленно ругалась; ее растрепанные волосы волочились по песку, а полуобнаженное тело, грязное и желтое при дневном свете, цинично и жалко выставлялось наружу.",Девять рассказов,0
﻿Над всей жизнью Василия Фивейского тяготел суровый и загадочный рок.,Жизнь Василия Фивейского,0
"Точно проклятый неведомым проклятием, он с юности нес тяжелое бремя печали, болезней и горя, и никогда не заживали на сердце его кровоточащие раны.",Жизнь Василия Фивейского,0
"Среди людей он был одинок, словно планета среди планет, и особенный, казалось, воздух, губительный и тлетворный, окружал его, как невидимое прозрачное облако.",Жизнь Василия Фивейского,0
"Сын покорного и терпеливого отца, захолустного священника, он сам был терпелив и покорен и долго не замечал той зловещей и таинственной преднамеренности, с какою стекались бедствия на его некрасивую, вихрастую голову.",Жизнь Василия Фивейского,0
"Быстро падал и медленно поднимался; снова падал и снова медленно поднимался, - и хворостинка за хворостинкой, песчинка за песчинкой трудолюбиво восстановлял он свой непрочный муравейник при большой дороге жизни.",Жизнь Василия Фивейского,0
"И когда он сделался священником, женился на хорошей девушке и родил от нее сына и дочь, то подумал, что все у него стало хорошо и прочно, как у людей, и пребудет таким навсегда.",Жизнь Василия Фивейского,0
"И благословил бога, так как верил в него торжественно и просто: как иерей и как человек с незлобивой душою.",Жизнь Василия Фивейского,0
"И случилось это на седьмой год его благополучия, в знойный июльский полдень: пошли деревенские ребята купаться, и с ними сын о. Василия, тоже Василий и такой же, как он, черненький и тихонький.",Жизнь Василия Фивейского,0
И утонул Василий.,Жизнь Василия Фивейского,0
"Молодая попадья, прибежавшая на берег с народом, навсегда запомнила простую и страшную картину человеческой смерти: и тягучие, глухие стуки своего сердца, как будто каждый удар его был последним; и необыкновенную прозрачность воздуха, в котором двигались знакомые, простые, но теперь обособленные и точно отодранные от земли фигуры людей; и оборванность смутных речей, когда каждое сказанное слово круглится в воздухе и медленно тает среди новых нарождающихся слов.",Жизнь Василия Фивейского,0
И на всю жизнь почувствовала она страх к ярким солнечным дням.,Жизнь Василия Фивейского,0
"Ей чудятся тогда широкие спины, залитые солнцем, босые ноги, твердо стоящие среди поломанных кочанов капусты, и равномерные взмахи чего-то белого, яркого, на дне которого округло перекатывается легонькое тельце, страшно близкое, страшно далекое и навеки чужое.",Жизнь Василия Фивейского,0
"И много времени спустя, когда Васю похоронили и трава выросла на его могиле, попадья все еще твердила молитву всех несчастных матерей: ""Господи, возьми мою жизнь, но отдай мое дитя!""",Жизнь Василия Фивейского,0
"Скоро и все в доме о. Василия стали бояться ярких летних дней, когда слишком светло горит солнце и нестерпимо блестит зажженная им обманчивая река.",Жизнь Василия Фивейского,0
"В такие дни, когда кругом радовались люди, животные и поля, все домочадцы о. Василия со страхом глядели на попадью, умышленно громко разговаривали и смеялись, а она вставала, ленивая и тусклая, смотрела в глаза пристально и странно, так что от взгляда ее отворачивались, и вяло бродила по дому, отыскивая какие-нибудь вещи: ключи, или ложку, или стакан.",Жизнь Василия Фивейского,0
"Все вещи, какие нужно, старались класть на виду, но она продолжала искать и искала все упорнее, все тревожнее, по мере того как все выше поднималось на небе веселое, яркое солнце.",Жизнь Василия Фивейского,0
"Она подходила к мужу, клала холодную руку на его плечо и вопросительно твердила:
- Вася!",Жизнь Василия Фивейского,0
А Вася?,Жизнь Василия Фивейского,0
"- Что, милая?",Жизнь Василия Фивейского,0
- покорно и безнадежно отвечал о. Василий и дрожащими загорелыми пальцами с грязными от земли нестрижеными ногтями оправлял ее сбившиеся волосы.,Жизнь Василия Фивейского,0
"Была она еще молода и красива, и на плохонькой домашней ряске мужа рука ее лежала как мраморная: белая и тяжелая.",Жизнь Василия Фивейского,0
"- Что, милая?",Жизнь Василия Фивейского,0
"Может быть, чайку бы выпила - ты еще не пила?",Жизнь Василия Фивейского,0
"- Вася, а Вася?",Жизнь Василия Фивейского,0
"- повторяла она вопросительно, снимала с плеча словно лишнюю и ненужную руку и снова искала все нетерпеливее, все беспокойнее.",Жизнь Василия Фивейского,0
"Из дома, обойдя все его неприбранные комнаты, она шла в сад, из сада во двор, потом опять в дом, а солнце поднималось все выше, и видно было сквозь деревья, как блестит тихая и теплая река.",Жизнь Василия Фивейского,0
"И шаг за шагом, цепко держась рукой за платье, угрюмо таскалась за попадьей дочь Настя, серьезная и мрачная, как будто и на ее шестилетнее сердце уже легла черная тень грядущего.",Жизнь Василия Фивейского,0
"Она старательно подгоняла свои маленькие шажки к крупным, рассеянным шагам матери, исподлобья, с тоскою оглядывала сад, знакомый, но вечно таинственный и манящий, - и свободная рука ее угрюмо тянулась к кислому крыжовнику и незаметно рвала, царапаясь об острые колючки.",Жизнь Василия Фивейского,0
"И от этих острых, как иглы, колючек и от кислого хрустящего крыжовника становилось еще скучнее и хотелось скулить, как заброшенному щенку.",Жизнь Василия Фивейского,0
"Когда солнце поднималось к зениту, попадья наглухо закрывала ставни в своей комнате и в темноте напивалась пьяная, в каждой рюмке черпая острую тоску и жгучее воспоминание о погибшем сыне.",Жизнь Василия Фивейского,0
"﻿Иисуса Христа много раз предупреждали, что Иуда из Кариота – человек очень дурной славы и его нужно остерегаться.",Иуда Искариот,0
"Одни из учеников, бывавшие в Иудее, хорошо знали его сами, другие много слыхали о нем от людей, и не было никого, кто мог бы сказать о нем доброе слово.",Иуда Искариот,0
"И если порицали его добрые, говоря, что Иуда корыстолюбив, коварен, наклонен к притворству и лжи, то и дурные, которых расспрашивали об Иуде, поносили его самыми жестокими словами.",Иуда Искариот,0
"""Он ссорит нас постоянно,– говорили они, отплевываясь,– он думает что-то свое и в дом влезает тихо, как скорпион, а выходит из него с шумом.",Иуда Искариот,0
"И у воров есть друзья, и у грабителей есть товарищи, и у лжецов есть жены, которым говорят они правду, а Иуда смеется над ворами, как и над честными, хотя сам крадет искусно, и видом своим безобразнее всех жителей в Иудее.",Иуда Искариот,0
"Нет, не наш он, этот рыжий Иуда из Кариота"",– говорили дурные, удивляя этим людей добрых, для которых не было большой разницы между ним и всеми остальными порочными людьми Иудеи.",Иуда Искариот,0
"Рассказывали далее, что свою жену Иуда бросил давно, и живет она несчастная и голодная, безуспешно стараясь из тех трех камней, что составляют поместье Иуды, выжать хлеб себе на пропитание.",Иуда Искариот,0
"Сам же он много лет шатается бессмысленно в народе и доходил даже до одного моря и до другого моря, которое еще дальше, и всюду он лжет, кривляется, зорко высматривает что-то своим воровским глазом, и вдруг уходит внезапно, оставляя по себе неприятности и ссору – любопытный, лукавый и злой, как одноглазый бес.",Иуда Искариот,0
"Детей у него не было, и это еще раз говорило, что Иуда – дурной человек и не хочет бог потомства от Иуды.",Иуда Искариот,0
"Никто из учеников не заметил, когда впервые оказался около Христа этот рыжий и безобразный иудей, но уж давно неотступно шел он по ихнему пути, вмешивался в разговоры, оказывал маленькие услуги, кланялся, улыбался и заискивал.",Иуда Искариот,0
"И то совсем привычен он становился, обманывая утомленное зрение, то вдруг бросался в глаза и в уши, раздражая их, как нечто невиданно-безобразное, лживое и омерзительное.",Иуда Искариот,0
"Тогда суровыми словами отгоняли его, и на короткое время он пропадал где-то у дороги,– а потом снова незаметно появлялся, услужливый, льстивый и хитрый, как одноглазый бес.",Иуда Искариот,0
"И не было сомнения для некоторых из учеников, что в желании его приблизиться к Иисусу скрывалось какое-то тайное намерение, был злой и коварный расчет.",Иуда Искариот,0
"Но не послушал их советов Иисус, не коснулся его слуха их пророческий голос.",Иуда Искариот,0
"С тем духом светлого противоречия, который неудержимо влек его к отверженным и нелюбимым, он решительно принял Иуду и включил его в круг избранных.",Иуда Искариот,0
"Ученики волновались и сдержанно роптали, а он тихо сидел, лицом к заходящему солнцу, и слушал задумчиво, может быть, их, а может быть, и что-нибудь другое.",Иуда Искариот,0
"Уж десять дней не было ветра, и все тот же оставался, не двигаясь и не меняясь, прозрачный воздух, внимательный и чуткий.",Иуда Искариот,0
"И казалось, будто бы сохранил он в своей прозрачной глубине все то, что кричалось и пелось в эти дни людьми, животными и птицами,– слезы, плач и веселую песню.",Иуда Искариот,0
"молитву и проклятия, и от этих стеклянных, застывших голосов был он такой тяжелый, тревожный, густо насыщенный незримой жизнью.",Иуда Искариот,0
И еще раз заходило солнце.,Иуда Искариот,0
"Тяжело пламенеющим шаром скатывалось оно книзу, зажигая небо, и все на земле, что было обращено к нему: смуглое лицо Иисуса, стены домов и листья деревьев,– все покорно отражало тот далекий и страшно задумчивый свет.",Иуда Искариот,0
"Белая стена уже не была белою теперь, и не остался белым красный город на красной горе.",Иуда Искариот,0
И вот пришел Иуда.,Иуда Искариот,0
"Пришел он, низко кланяясь, выгибая спину, осторожно и пугливо вытягивая вперед свою безобразную бугроватую голову – как раз такой, каким представляли его знающие.",Иуда Искариот,0
"Он был худощав, хорошего роста, почти такого же, как Иисус, который слегка сутулился от привычки думать при ходьбе и от этого казался ниже, и достаточно крепок силою был он, по-видимому, но зачем-то притворялся хилым и болезненным и голос имел переменчивый: то мужественный и сильный, то крикливый, как у старой женщины, ругающей мужа, досадно-жидкий и неприятный для слуха, и часто слова Иуды хотелось вытащить из своих ушей, как гнилые, шероховатые занозы.",Иуда Искариот,0
"Короткие рыжие волосы не скрывали странной и необыкновенной формы его черепа: точно разрубленный с затылка двойным ударом меча и вновь составленный, он явственно делился на четыре части и внушал недоверие, даже тревогу: за таким черепом не может быть тишины и согласия, за таким черепом всегда слышится шум кровавых и беспощадных битв.",Иуда Искариот,0
"Двоилось так же и лицо Иуды: одна сторона его, с черным, остро высматривающим глазом, была живая, подвижная, охотно собиравшаяся в многочисленные кривые морщинки.",Иуда Искариот,0
"На другой же не было морщин, и была она мертвенно-гладкая, плоская и застывшая, и хотя по величине она равнялась первой, но казалась огромною от широко открытого слепого глаза.",Иуда Искариот,0
"Покрытый белесой мутью, не смыкающийся ни ночью, ни днем, он одинаково встречал и свет и тьму, но оттого ли, что рядом с ним был живой и хитрый товарищ, не верилось в его полную слепоту.",Иуда Искариот,0
"Когда в припадке робости или волнения Иуда закрывал свой живой глаз и качал головой, этот качался вместе с движениями головы и молчаливо смотрел.",Иуда Искариот,0
"﻿Впервые я почувствовал это, когда мы шли по энской дороге - шли десять часов непрерывно, не останавливаясь, не замедляя хода, не подбирая упавших и оставляя их неприятелю, который сплошными массами двигался сзади нас и через три-четыре часа стирал следы наших ног своими ногами.",Красный смех,0
Стоял зной.,Красный смех,0
"Не знаю, сколько было градусов: сорок, пятьдесят или больше; знаю только, что он был непрерывен, безнадежно-ровен и глубок.",Красный смех,0
"Солнце было так огромно, так огненно и страшно, как будто земля приблизилась к нему и скоро сгорит в этом беспощадном огне.",Красный смех,0
И не смотрели глаза.,Красный смех,0
"Маленький, сузившийся зрачок, маленький, как зернышко мака, тщетно искал тьмы под сенью закрытых век: солнце пронизывало тонкую оболочку и кровавым светом входило в измученный мозг.",Красный смех,0
"Но все-таки так было лучше, и я долго, быть может, несколько часов, шел с закрытыми глазами, слыша, как движется вокруг меня толпа: тяжелый и неровный топот ног, людских и лошадиных, скрежет железных колес, раздавливающих мелкий камень, чье-то тяжелое, надорванное дыхание и сухое чмяканье запекшимися губами.",Красный смех,0
Но слов я не слыхал.,Красный смех,0
"Все молчали, как будто двигалась армия немых, и, когда кто-нибудь падал, он падал молча, и другие натыкались на его тело, падали, молча поднимались и, не оглядываясь, шли дальше - как будто эти немые были также глухи и слепы.",Красный смех,0
"Я сам несколько раз натыкался и падал, и тогда невольно открывал глаза, - и то, что я видел, казалось диким вымыслом, тяжелым бредом обезумевшей земли.",Красный смех,0
"Раскаленный воздух дрожал, и беззвучно, точно готовые потечь, дрожали камни; и дальние ряды людей на завороте, орудия и лошади отделились от земли и беззвучно студенисто колыхались - точно не живые люди это шли, а армия бесплотных теней.",Красный смех,0
"Огромное, близкое, страшное солнце на каждом стволе ружья, на каждой металлической бляхе зажгло тысячи маленьких ослепительных солнц, и они отовсюду, с боков и снизу забирались в глаза, огненно-белые, острые, как концы добела раскаленных штыков.",Красный смех,0
"А иссушающий, палящий жар проникал в самую глубину тела, в кости, в мозг, и чудилось порою, что на плечах покачивается не голова, а какой-то странный и необыкновенный шар, тяжелый и легкий, чужой и страшный.",Красный смех,0
"И тогда - и тогда внезапно я вспомнил дом: уголок комнаты, клочок голубых обоев и запыленный нетронутый графин с водою на моем столике - на моем столике, у которого одна ножка короче двух других и под нее подложен свернутый кусочек бумаги.",Красный смех,0
"А в соседней комнате, и я их не вижу, будто бы находятся жена моя и сын.",Красный смех,0
"Если бы я мог кричать, я закричал бы - так необыкновенен был этот простой и мирный образ, этот клочок голубых обоев и запыленный, нетронутый графин.",Красный смех,0
"Знаю, что я остановился, подняв руки, но кто-то сзади толкнул меня; я быстро зашагал вперед, раздвигая толпу, куда-то торопясь, уже не чувствуя ни жара, ни усталости.",Красный смех,0
"И я долго шел так сквозь бесконечные молчаливые ряды, мимо красных, обожженных затылков, почти касаясь бессильно опущенных горячих штыков, когда мысль о том, что же я делаю, куда иду так торопливо, - остановила меря.",Красный смех,0
"Так же торопливо повернул в сторону, пробился на простор, перелез какой-то овраг и озабоченно сел на камень, как будто этот шершавый, горячий камень был целью всех моих стремлений.",Красный смех,0
И тут впервые я почувствовал это.,Красный смех,0
"Я ясно увидел, что эти люди, молчаливо шагающие в солнечном блеске, омертвевшие от усталости и зноя, качающиеся и падающие, что это безумные.",Красный смех,0
"Они не знают, куда они идут, они не знают, зачем это солнце, они ничего не знают.",Красный смех,0
"У них не голова на плечах, а странные и страшные шары.",Красный смех,0
"Вот один, как и я, торопливо пробирается сквозь ряды и падает; вот другой, третий.",Красный смех,0
"Вот поднялась над толпою голова лошади с красными безумными глазами и широко оскаленным ртом, только намекающим на какой-то страшный и необыкновенный крик, поднялась, упала, и в этом месте на минуту сгущается народ, приостанавливается, слышны хриплые, глухие голоса, короткий выстрел, и потом снова молчаливое, бесконечное движение.",Красный смех,0
"Уже час сижу я на этом камне, а мимо меня все идут, и все так же дрожит земля, и воздух, и дальние призрачные ряды.",Красный смех,0
"Меня снова пронизывает иссушающий зной, и я уже не помню того, что представилось мне на секунду, а мимо меня все идут, идут, и я не понимаю, кто это.",Красный смех,0
"Час тому назад я был один на этом камне, а теперь уже собралась вокруг меня кучка серых людей: одни лежат и неподвижны, быть может, умерли; другие сидят и остолбенело смотрят на проходящих, как и я. У одних есть ружья, и они похожи на солдат; другие раздеты почти догола, и кожа на теле так багрово-красна, что на нее не хочется смотреть.",Красный смех,0
Недалеко от меня лежит кто-то голый спиной кверху.,Красный смех,0
"По тому, как равнодушно уперся он лицом в острый и горячий камень, по белизне ладони опрокинутой руки видно, что он мертв, но спина его красна, точно у живого, и только легкий желтоватый налет, как в копченом мясе, говорит о смерти.",Красный смех,0
"﻿От скверных крепких папирос в комнате волокнами стоял синий дым, чай все желтел, желтел и наконец обратился в холодную воду, в которой плавали размокшие кусочки лимона, а Коцуры все не было.",Бог,1
